Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33831764,37856121
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,40019529,43294546
"Population, total",SP.POP.TOTL,American Samoa,ASM,52878,50209
"Population, total",SP.POP.TOTL,Andorra,AND,72174,76474
"Population, total",SP.POP.TOTL,Angola,AGO,28157798,32375632
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89409,91364
"Population, total",SP.POP.TOTL,Argentina,ARG,43477012,44973465
"Population, total",SP.POP.TOTL,Armenia,ARM,3004600,2962500
"Population, total",SP.POP.TOTL,Aruba,ABW,107906,109203
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385346,394675
"Population, total",SP.POP.TOTL,Bahrain,BHR,1370322,1483756
"Population, total",SP.POP.TOTL,Bangladesh,BGD,159383179,164913055
"Population, total",SP.POP.TOTL,Barbados,BRB,278990,281207
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,356333,385829
"Population, total",SP.POP.TOTL,Benin,BEN,11360681,12726755
"Population, total",SP.POP.TOTL,Bermuda,BMU,63464,64107
"Population, total",SP.POP.TOTL,Bhutan,BTN,740618,764824
"Population, total",SP.POP.TOTL,Bolivia,BOL,11014705,11671386
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3518541,3345533
"Population, total",SP.POP.TOTL,Botswana,BWA,2203273,2332083
"Population, total",SP.POP.TOTL,Brazil,BRA,201675532,207455459
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,34498,36395
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,422212,442680
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6984225,6616726
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18777487,20961952
"Population, total",SP.POP.TOTL,Burundi,BDI,11047580,12255336
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,512394,514104
"Population, total",SP.POP.TOTL,Cambodia,KHM,15623251,16481304
"Population, total",SP.POP.TOTL,Cameroon,CMR,22763414,25506095
"Population, total",SP.POP.TOTL,Canada,CAN,35704498,37618495
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,61642,67327
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4629320,4944703
"Population, total",SP.POP.TOTL,Chad,TCD,14647621,16685223
"Population, total",SP.POP.TOTL,Channel Islands,CHI,163454,165639
"Population, total",SP.POP.TOTL,Chile,CHL,18047625,19197744
"Population, total",SP.POP.TOTL,China,CHN,1379860000,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,46969940,49907985
"Population, total",SP.POP.TOTL,Comoros,COM,726682,786578
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,81035531,92947442
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5097581,5616661
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4818038,4999553
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25246342,28193009
"Population, total",SP.POP.TOTL,Croatia,HRV,4151725,3949390
"Population, total",SP.POP.TOTL,Cuba,CUB,11275065,11202846
"Population, total",SP.POP.TOTL,Curacao,CUW,157980,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1219502,1286671
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1020313,1088709
"Population, total",SP.POP.TOTL,Dominica,DMA,70410,67880
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10434829,10894043
"Population, total",SP.POP.TOTL,Ecuador,ECU,16266225,17340021
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,99597342,107553158
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183676,6222318
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1453923,1670177
"Population, total",SP.POP.TOTL,Eritrea,ERI,3105546,3240194
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,103867135,115737383
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48901,51793
"Population, total",SP.POP.TOTL,Fiji,FJI,918578,914899
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5521606
"Population, total",SP.POP.TOTL,France,FRA,66548272,67382061
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277866,279034
"Population, total",SP.POP.TOTL,Gabon,GAB,2040989,2267706
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2224529,2456844
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,28696068,31258945
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33193,35494
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,114676,115981
"Population, total",SP.POP.TOTL,Guam,GUM,164905,161808
"Population, total",SP.POP.TOTL,Guatemala,GTM,15971743,17103803
"Population, total",SP.POP.TOTL,Guinea,GIN,11767070,13034346
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1786457,1967696
"Population, total",SP.POP.TOTL,Guyana,GUY,758781,807665
"Population, total",SP.POP.TOTL,Haiti,HTI,10523242,11105163
"Population, total",SP.POP.TOTL,Honduras,HND,9237305,9943633
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9797755,9694824
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,360563
"Population, total",SP.POP.TOTL,India,IND,1328024498,1389030312
"Population, total",SP.POP.TOTL,Indonesia,IDN,261799249,272489381
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82619362,87051648
"Population, total",SP.POP.TOTL,Iraq,IRQ,37560535,41192171
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4976456
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83957
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,60229605,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2802534,2823271
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,9544729,10671891
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18084169,19209555
"Population, total",SP.POP.TOTL,Kenya,KEN,47088526,51202827
"Population, total",SP.POP.TOTL,Kiribati,KIR,116815,123921
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25575350,26037632
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788274,1788891
"Population, total",SP.POP.TOTL,Kuwait,KWT,3834574,4442316
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6040036,6590211
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6801645,7237636
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,6472469,5794594
"Population, total",SP.POP.TOTL,Lesotho,LSO,2104611,2209405
"Population, total",SP.POP.TOTL,Liberia,LBR,4659431,5043721
"Population, total",SP.POP.TOTL,Libya,LBY,6531819,6951033
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37494,38563
"Population, total",SP.POP.TOTL,Lithuania,LTU,2911109,2811089
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,642900,672000
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1912430,1876262
"Population, total",SP.POP.TOTL,Madagascar,MDG,25426702,28219554
"Population, total",SP.POP.TOTL,Malawi,MWI,17085587,19025752
"Population, total",SP.POP.TOTL,Malaysia,MYS,31232798,33440596
"Population, total",SP.POP.TOTL,Maldives,MDV,428154,487731
"Population, total",SP.POP.TOTL,Mali,MLI,18593022,21068405
"Population, total",SP.POP.TOTL,Malta,MLT,444220,503912
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,48800,44007
"Population, total",SP.POP.TOTL,Mauritania,MRT,3965959,4467708
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262879,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,121072306,125762982
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108716,110282
"Population, total",SP.POP.TOTL,Moldova,MDA,2835978,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,36757,38109
"Population, total",SP.POP.TOTL,Mongolia,MNG,3026864,3267673
"Population, total",SP.POP.TOTL,Montenegro,MNE,624651,626753
"Population, total",SP.POP.TOTL,Morocco,MAR,34607588,36210898
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26547572,29884380
"Population, total",SP.POP.TOTL,Myanmar,MMR,51089056,52640713
"Population, total",SP.POP.TOTL,Namibia,NAM,2374300,2650494
"Population, total",SP.POP.TOTL,Nauru,NRU,10954,11587
"Population, total",SP.POP.TOTL,Nepal,NPL,27823629,28414064
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283168,283606
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6149417,6483657
"Population, total",SP.POP.TOTL,Niger,NER,19939498,22947757
"Population, total",SP.POP.TOTL,Nigeria,NGA,190671878,209485641
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51514,48129
"Population, total",SP.POP.TOTL,Norway,NOR,5188607,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4184895,4591241
"Population, total",SP.POP.TOTL,Pakistan,PAK,217290883,230800899
"Population, total",SP.POP.TOTL,Palau,PLW,17770,17798
"Population, total",SP.POP.TOTL,Panama,PAN,3960035,4234700
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8743246,9609010
"Population, total",SP.POP.TOTL,Paraguay,PRY,6159103,6515058
"Population, total",SP.POP.TOTL,Peru,PER,30457600,32449303
"Population, total",SP.POP.TOTL,Philippines,PHL,105312992,110804683
"Population, total",SP.POP.TOTL,Poland,POL,37986412,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076,10286263
"Population, total",SP.POP.TOTL,Puerto Rico (US),PRI,3535167,3302691
"Population, total",SP.POP.TOTL,Qatar,QAT,2344557,2638657
"Population, total",SP.POP.TOTL,Romania,ROU,19815616,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144640716,145453291
"Population, total",SP.POP.TOTL,Rwanda,RWA,11640022,12776103
"Population, total",SP.POP.TOTL,Samoa,WSM,201782,209780
"Population, total",SP.POP.TOTL,San Marino,SMR,32897,34663
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,200291,213392
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,29816382,30063799
"Population, total",SP.POP.TOTL,Senegal,SEN,14593331,16352922
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7037655,7731991
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,37471,40385
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,639415,728147
"Population, total",SP.POP.TOTL,"Somalia, Fed. Rep.",SOM,13806963,16030971
"Population, total",SP.POP.TOTL,South Africa,ZAF,56723537,59587885
"Population, total",SP.POP.TOTL,South Sudan,SSD,11107561,10423384
"Population, total",SP.POP.TOTL,Spain,ESP,46422303,47118501
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20970000,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47087,46952
"Population, total",SP.POP.TOTL,St. Lucia,LCA,174905,177661
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37369,34267
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,106960,104167
"Population, total",SP.POP.TOTL,Sudan,SDN,40024431,45548175
"Population, total",SP.POP.TOTL,Suriname,SUR,581627,605768
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1142813,1179874
"Population, total",SP.POP.TOTL,Sweden,SWE,9799186,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8282396,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,19424618,20353534
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8643840,9529966
"Population, total",SP.POP.TOTL,Tanzania,TZA,52020962,59174891
"Population, total",SP.POP.TOTL,Thailand,THA,70540795,71522271
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1205131,1300945
"Population, total",SP.POP.TOTL,Togo,TGO,7663195,8463068
"Population, total",SP.POP.TOTL,Tonga,TON,106095,105669
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1349667,1363985
"Population, total",SP.POP.TOTL,Tunisia,TUN,11402264,11875081
"Population, total",SP.POP.TOTL,Turkiye,TUR,78218479,82579440
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6215770,6803944
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,36605,43166
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10963,10581
"Population, total",SP.POP.TOTL,Uganda,UGA,37531446,42999637
"Population, total",SP.POP.TOTL,Ukraine,UKR,45784896,44957458
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8505237,9445785
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65088000,66631000
"Population, total",SP.POP.TOTL,United States,USA,321815121,330226227
"Population, total",SP.POP.TOTL,Uruguay,URY,3368017,3397206
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,30749346,32964701
"Population, total",SP.POP.TOTL,Vanuatu,VUT,266101,291985
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30573972,28938098
"Population, total",SP.POP.TOTL,Viet Nam,VNM,92823254,97173776
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107712,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4270092,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,31159379,35111408
"Population, total",SP.POP.TOTL,Zambia,ZMB,16399089,18513839
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14399013,15271368
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,3.11995924146907,2.98438913621969
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.291205786840436,-0.426007367032238
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.05624795728459,1.84041291439333
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.10585645130594,-1.38257886328442
Population growth (annual %),SP.POP.GROW,Andorra,AND,-2.14248382559065,1.73050296926809
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.60507162233632,3.38788422184303
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.722892009464778,0.480553889847623
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.04725888735726,0.710900853077743
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.305729335573084,-0.219168932037313
Population growth (annual %),SP.POP.GROW,Aruba,ABW,1.02370103122312,0.270504632854835
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.43921665259925,1.47749071058438
Population growth (annual %),SP.POP.GROW,Austria,AUT,1.12099250236958,0.444673639004876
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.19120985807018,0.846646726414021
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.794122280116855,0.497339072752345
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,4.15422184212278,-1.29469437720599
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,0.89381937776758,0.84641125179804
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.230380947989644,0.176538259610281
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.132853236725342,-0.201786600970723
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.579446241677791,0.540461327098122
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.10144194153298,1.46284533510266
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.95391627666724,2.73538842831436
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.102367855986115,0.431459657274573
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.01496572424441,0.66444642692507
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.51686119793977,1.40657823805422
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.30696713269434,-1.23185506471358
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.42753223737773,1.42262847077389
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.791721773592796,0.651994346081362
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,4.55459685304489,4.8931677135622
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.30210359279592,1.10621350885567
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-1.2711551188344,-1.41171852077109
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.96196306547686,2.52989803984158
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.26851729292704,3.28367531420808
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,0.0132719182020122,0.134109462358547
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.46023762985186,1.26258301009769
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,3.13934346036401,2.78164441246944
Population growth (annual %),SP.POP.GROW,Canada,CAN,0.760300145238936,1.46171259938134
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.43357767472909,2.08009420729087
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,0.132677645471712,1.34469255324203
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.18336105662872,3.21991132048391
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.446380040967648,0.417438625700863
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.0215666887643,1.59911795256016
Population growth (annual %),SP.POP.GROW,China,CHN,0.581456146657648,0.354740890170827
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.864942376762699,1.78615507724394
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.11093338446849,1.92385702700328
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.3022434270539,3.1695285579572
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.41638740919909,2.40634419722279
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,1.06246520512643,0.838278384859255
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.88906178023194,2.61916841176218
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-1.19410185876662,-0.992302961069294
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.0949432805207596,-0.216424863402489
Population growth (annual %),SP.POP.GROW,Curacao,CUW,1.31959390251523,-1.19643951751799
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,1.46213136863434,1.24612155650882
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.196588748472653,0.393788864202175
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.706423849687002,0.358130915892652
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.73961273409176,1.55766086478885
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.0525631657968539,-0.432182012456847
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.14988204322301,1.0333133463082
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.43093059839379,1.68935479627168
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.09892554805563,1.75497438173801
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.335654632494608,0.0403628806830014
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.79160484192286,3.271454421427
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,0.334574415524454,1.47474580694345
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.0655525295417938,0.371554389037477
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.68480186138776,2.69123978261516
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.971968732398671,1.55078067228514
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.108160342715375,-0.24900685817593
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.329383885818507,0.110191690491055
Population growth (annual %),SP.POP.GROW,France,FRA,0.355569240058298,0.332559129027963
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.53369255935478,-0.279503231980126
Population growth (annual %),SP.POP.GROW,Gabon,GAB,3.11465625322556,2.47279132038176
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.73428839872651,2.35622071960344
Population growth (annual %),SP.POP.GROW,Georgia,GEO,0.157481405176007,-0.171565740223868
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.865702643950251,0.22551987421288
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.30712733064921,2.00780519953703
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,1.1514231987378,1.81957598739227
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.658861360878339,-0.105339392724138
Population growth (annual %),SP.POP.GROW,Greenland,GRL,-0.322038549275343,0.359917714454119
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.475508745345535,0.250354079448358
Population growth (annual %),SP.POP.GROW,Guam,GUM,-0.351704858120325,-0.536848682318792
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.83250767864618,1.52062955252943
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.53151277572433,2.56100451729991
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.57045957815277,2.34095994762157
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.601716278706478,2.0146740033225
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.43574035756707,1.29423660619831
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.90365241356179,1.81063773761993
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.851197911086988,0.739283471323064
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.35946625276649,-0.125143121699401
Population growth (annual %),SP.POP.GROW,Iceland,ISL,1.04194038662969,2.19893225826166
Population growth (annual %),SP.POP.GROW,India,IND,1.19285563384335,1.04001395098104
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.12233981761262,0.935604959235128
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.36159478810594,1.07831720901251
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.72710976935126,2.27501115691232
Population growth (annual %),SP.POP.GROW,Ireland,IRL,0.944845307474728,1.58865409604595
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,-0.35704727903332,0.181209143421298
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.98128897562083,1.90898263957994
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.151143561276007,-0.700011055973408
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.313958647771979,0.112486030848061
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.106124993746747,-0.140464977878172
Population growth (annual %),SP.POP.GROW,Jordan,JOR,8.21798329205466,1.98343822476301
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.49239879824091,1.45157995956237
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.2270329432256,1.96381549826771
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.28285862528713,1.4934933399344
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.486366779009783,0.409804313568107
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.527288497407793,0.347874968577526
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-1.36150828171389,-0.457058941890623
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,4.49910219971801,2.71071332448015
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.24669257424341,2.24236415055009
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.45836474920589,1.52576304616693
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.818626340945853,-0.695239140136066
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,1.95769583624838,-3.21837128976045
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.17199706979444,1.17469837087993
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.06297096669961,1.98225492944197
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.61383897825773,1.47795950725002
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.658266806602704,0.825428790511035
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.89406825888146,-0.288120400605037
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2.35995118136865,1.9628449198635
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,3.3531529872349,1.96865626033754
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.267729528193655,-0.679308688552216
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.63948434650119,2.60136633480103
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.75359183453625,2.65059567621331
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.73319445645586,1.59646653343981
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.45425190846638,3.04593554452725
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.1289280097663,3.01814494306617
Population growth (annual %),SP.POP.GROW,Malta,MLT,2.44719692467224,4.05171762437788
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-2.0204346660438,-2.86271396531764
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,3.00605924056849,2.95347297852629
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.132404330287967,0.0322330642925213
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.06956376155677,0.950144329831411
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.294778945170204,0.338797095962346
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-0.767049559673864,-1.60031653578231
Population growth (annual %),SP.POP.GROW,Monaco,MCO,1.7260495743784,-0.118012680389237
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,2.12866951701474,1.8371507310985
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.145306599207243,0.0502716675485305
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.17075639938741,1.03022315933698
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.90106067133475,2.9397415898529
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.800670952631538,0.702425162747352
Population growth (annual %),SP.POP.GROW,Namibia,NAM,2.65295870908636,2.79932223646079
Population growth (annual %),SP.POP.GROW,Nauru,NRU,1.95433948782621,0.953874731639391
Population growth (annual %),SP.POP.GROW,Nepal,NPL,0.545118124856758,1.18377302604311
